#{"t_start": 1789608415.906354, "env_id": "None"}
r,l,t
103.9,11,4.530238
118.5,15,4.531608
104.0,10,4.532624
103.1,19,4.534432
103.4,16,4.535905
103.8,12,4.537059
103.9,11,4.538045
103.6,14,4.539339
103.9,11,4.54033
103.4,16,4.541926
103.6,14,4.54331
118.4,16,4.544831
103.5,15,4.54622
103.7,13,4.547415
103.9,11,4.548428
103.4,16,4.549907
103.9,11,4.550928
103.9,11,4.551942
104.0,10,4.552861
103.9,11,4.553866
104.0,10,4.554784
103.6,14,4.55606
103.9,11,4.557089
103.9,11,4.558103
103.4,16,4.559579
104.0,10,4.560503
103.8,12,4.56159
118.7,13,4.562778
103.9,11,4.563784
103.9,11,4.564789
103.9,11,4.565792
118.7,13,4.566978
103.8,12,4.568071
104.0,10,4.568989
103.8,13,4.570172
103.8,12,4.571277
103.7,13,4.572458
103.9,11,4.573456
103.8,12,4.574552
103.3,17,4.576102
103.9,11,4.577107
103.6,14,4.578373
103.7,13,4.579544
103.9,11,4.580543
88.6,14,4.581826
104.0,10,4.582745
118.8,12,4.583839
103.3,17,4.58537
103.6,14,4.586638
103.7,13,4.587816
103.4,16,4.589265
103.8,12,4.590357
103.5,15,4.591729
103.8,12,4.592824
103.9,11,4.593823
88.6,14,4.595095
103.8,12,4.596186
103.9,11,4.597187
104.0,10,4.598096
118.9,11,4.599097
104.0,10,4.600011
103.5,15,4.601379
103.4,16,4.602824
103.7,12,4.603918
118.9,11,4.604917
103.5,15,4.606283
88.6,14,4.607561
88.6,14,4.608831
118.9,11,4.609832
103.6,15,4.611188
103.7,13,4.612369
104.0,10,4.613282
103.6,14,4.614557
104.0,10,4.81089
118.5,15,4.812309
118.8,12,4.813429
118.7,13,4.814621
118.8,12,4.815727
103.5,15,4.817093
103.9,11,4.818106
88.7,13,4.819299
103.9,13,4.820496
104.0,10,4.821419
103.6,14,4.822693
103.6,14,4.823966
88.7,13,4.825159
103.9,11,4.826172
103.6,14,4.827446
103.7,13,4.828626
103.1,18,4.830254
103.6,14,4.831547
103.8,12,4.832738
103.8,12,4.833934
88.4,16,4.835535
103.5,15,4.836954
